Presidente | O presidente da FEEES está incumbido de dirigir e administrar a Federação em todas as suas atividades e dependências; representá-la em juízo ou fora dele. Cumprir e fazer cumprir o Estatuto, as atribuições normatizadas no Regimento Interno e as deliberações do Conselho Federativo Estadual e da Assembleia Geral.
Vice-Presidente de Administração (VPA) | Compete supervisionar a utilização dos espaços, dos bens móveis e imóveis e as atividades da sede social; desenvolver projetos ligados à sustentabilidade financeira da Federação; apoiar a demais Vice-presidências na elaboração e acompanhamento do plano de trabalho e suas decorrências, administrativas, financeiras e patrimoniais. Vinculadas a esta vice-presidência, a Livraria, o Desdobra (Projeto de sustentabilidade financeira), a Secretaria, a Tesouraria e a Equipe de Tecnologia da Informação.
Vice-Presidente de Unificação (VPU) |Compete-lhe: otimizar as relações da FEEES com os Conselhos Regionais Espíritas (CRE), as casas espíritas, adesas e não adesas, as Entidades Espíritas Especializadas e demais parceiros das relações institucionais. Compartilhar ações que envolvam a divulgação do Espiritismo, bem como, a valorização da imagem institucional da Federação; disponibilizar orientação e apoio aos Conselhos Regionais Espíritas e aos centros espíritas sobre assuntos pertinentes à sua área de ação, privilegiando os esforços para a união dos espíritas e a unificação do Movimento Federativo Estadual.
Vice-Predidente de Doutrina (VPD) |A esta vice-presidência cabe: elaborar, implementar e supervisionar iniciativas e procedimentos que promovam o permanente estudo relativo à fundamentação e à prática da Mediunidade, das atividades do Atendimento Espiritual, da Comunicação Social Espírita, bem como, à capacitação de trabalhadores vinculados às atividades; compor e administrar equipe pedagógica multidisciplinar, com vistas a atender às demandas para a permanente capacitação de dirigentes e trabalhadores do movimento espírita federativo.
Vice-Presidente de Educação (VPE) |A Vice-Presidência de Educação responsabiliza-se pela orientação e supervisão das Áreas Estratégicas relacionadas à Evangelização Espírita Infanto-Juvenil e ao Movimento das Mocidades Espíritas; ao Estudo do Espiritismo e às atividades que lhe são próprias e afins; ao Serviço de Assistência e Promoção Social Espírita; à Família e à Arte, valorizando, em todos os seus projetos e procedimentos, a ação evangelizadora da família.
Área de orienteção da Mediunidade  (AMEE) | Sob a supervisão da Vice-Presidência de Doutrina, tem a finalidade de orientar as atividades relacionadas com o estudo e a prática da mediunidade, junto aos órgãos da Federação e às Casas Espíritas, colaborando para a implantação, a continuidade e o aprimoramento das atividades em ajustada sintonia com os fundamentos da Codificação Espírita.  Promover ciclos de estudos e outros meios de extensão do conhecimento sobre o assunto, visando à sólida fundamentação e ao aprimoramento da prática mediúnica. Manter permanente contato com as demais áreas estratégicas e os Conselhos Regionais Espíritas a fim de estabelecer rede de informações ágil e fidedigna na administração dos interesses da área.
Área de Atendimento Espiritual (AAE) |A Área de Atendimento Espiritual (AAE), sob a supervisão da Vice-Presidência de Doutrina, tem a finalidade de orientar aos Conselhos Regionais Espíritas e às Casas Espíritas, colaborando para a implantação, a continuidade e o aprimoramento de suas ações que, privilegiando as referências de atenção ao outro – Acolher, Consolar, Esclarecer e Orientar –  contemplam as seguintes atividades: Recepção; Atendimento fraterno pelo diálogo; Explanação do evangelho à luz da doutrina espírita;  Passe e magnetização da água; Irradiação;  Evangelho no lar; Atendimento espiritual domiciliar (visita fraterna). Compartilhar, com as demais áreas estratégicas e os Conselhos Regionais Espíritas, rede de informações ágil e fidedigna na administração dos interesses da área.
Área de Comunicação Social Espírita (ACSE) |Sob a supervisão da Vice-Presidência de Doutrina, tem por finalidade promover a divulgação dos objetivos institucionais da FEEES; otimizar a comunicação interna e externa da Federação; buscar espaços nos jornais, revistas, rádios e outras mídias para veiculação de conteúdos espíritas;  assessorar e divulgar os eventos de todas as Áreas Estratégicas e dos Conselhos Regionais Espíritas; gerenciar o informativo A SENDA e a plataforma de comunicação integrada da Feees (Website, Facebook, Instagram, Twitter); propiciar às casas espíritas a estruturação da Área e patrocinar a permanente capacitação para as atividades, aí privilegiando as funções Midiática, Integradora e Evangelizadora da Comunicação Social Espírita. Compartilhar, com as demais áreas estratégicas, os Conselhos Regionais Espíritas e instituições parceiras, rede de informações ágil e fidedigna na administração dos interesses da área.
Área de Assistência e Promoção Social Espírita (APSE) |A Área de Assistência e Promoção Social Espírita (APSE), sob a supervisão da Vice-Presidência de Educação, tem por escopo a orientação e a coordenação das atividades e dos serviços no Movimento Federativo Estadual, na abrangência definida pelo Espiritismo, destinados às pessoas em situação de carência sócio-econômico-moral-espiritual e, por consequência, voltados à educação integral do ser humano, "(...) assegurando, na atividade, suas características beneficentes, preventiva e promocional, conjugando a ajuda material e espiritual, fazendo com que este serviço se desenvolva concomitantemente com o atendimento às necessidades de evangelização" (OCE/Feb,cap.IX, Preâmbulo, item 4). Compartilhar, com as demais áreas estratégicas e os Conselhos Regionais Espíritas, rede de informações ágil e fidedigna na administração dos interesses da área.
Área de Estudo do Espiritismo (AEE) |Sob a supervisão da Vice-Presidência de Educação, tem a finalidade de estimular e promover o estudo continuado da Doutrina Espírita no âmbito da ação federativa.  Para atingir suas finalidades, a AEE deverá:  incentivar e orientar o processo de organização, implantação e consolidação do estudo regular do Espiritismo nas instituições espíritas; promover eventos, debates e a socialização de experiências em encontros regionais e estaduais voltados para a extensão e a perenidade do estudo do Espiritismo, como forma de desenvolver a fé raciocinada e a construção do pensamento crítico; fomentar a formação continuada dos trabalhadores da Área. Estabelecer, junto às demais áreas estratégicas e aos CREs rede de informações ágil e fidedigna na administração dos interesses da área.
Área da Infância e Juventude (AIJ) |Sob supervisão da Vice-Presidência de Educação, tem a finalidade de propor, organizar e coordenar as atividades pertinentes à evangelização da criança, do jovem e da família à luz da Doutrina Espírita. Compete-lhe: elaborar projetos e formar equipes de trabalho, promovendo o aperfeiçoamento doutrinário-pedagógico dos evangelizadores; realizar/patrocinar/compartilhar a realização de eventos regionais, estaduais e de interesse do movimento espírita nacional; realçar a necessidade de se atentar para os cuidados legais da legislação vigente (Estatuto da Criança e do Adolescente, o Código Civil Brasileiro, e outros normativos) no campo das relações e atividades espíritas com a participação de menores.  Manter permanente contato com as demais áreas estratégicas e os Conselhos Regionais Espíritas a fim de estabelecer rede de informações ágil e fidedigna na administração dos interesses da área.
